# utc avail_mib swap_used_mib | per worker: rss_mib/anon_mib/swap_mib/memcg_oom_kills
17:48 18075 906 | 1090/1000/167/0 1304/1115/2/0 1109/1021/138/0 1240/904/192/0 1327/1021/163/0 1375/1065/146/0
17:49 18008 905 | 1090/1000/167/0 1304/1115/2/0 1109/1021/138/0 1308/972/191/0 1327/1021/163/0 1189/878/146/0
17:50 17896 905 | 1090/1000/167/0 1304/1130/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1428/1117/146/0
17:51 17887 904 | 1090/1000/167/0 1304/1115/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1806/1495/146/0
17:52 17959 904 | 1090/1000/167/0 1304/1115/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1532/1220/146/0
17:53 18101 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1230/918/146/0
17:54 18001 904 | 1090/1000/167/0 1304/1117/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1329/1013/146/0
17:55 17887 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1441/1123/146/0
17:56 18298 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1043/725/146/0
17:57 18031 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1287/968/146/0
17:58 18189 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1166/843/146/0
17:59 17895 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1446/1122/146/0
18:00 18298 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1031/707/146/0
18:01 17912 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1434/1110/146/0
18:02 18386 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 957/632/146/0
18:03 17947 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
18:04 17951 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
18:06 17943 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
18:07 17941 904 | 1090/1000/167/0 1304/1116/2/0 1109/1022/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
18:08 17920 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
18:09 17927 904 | 1090/1000/167/0 1304/1116/2/0 1109/1021/138/0 1344/1008/190/0 1327/1021/163/0 1234/910/146/0
